site,latitude,longitude
1,42.06114835,-8.14492506
2,42.06094399,-8.14425409
3,42.06064828,-8.14519923
4,42.06044401,-8.14452818
5,42.06294425,-8.14315748
6,42.06146527,-8.14788345
7,42.06396559,-8.14651284
8,42.05849246,-8.13620185
9,42.05869681,-8.13687282
10,42.05799239,-8.13647602
11,42.05819674,-8.13714699
12,42.06069690,-8.13577613
13,42.05717507,-8.13379205
14,42.05967523,-8.13242110
15,42.05375878,-8.15132339
16,42.05325871,-8.15159747
17,42.05396304,-8.15199444
18,42.05346298,-8.15226845
19,42.05244181,-8.14891351
20,42.05596338,-8.15089826
21,42.05494213,-8.14754323
22,42.05199615,-8.13978192
23,42.05249613,-8.13950775
24,42.05220041,-8.14045281
25,42.05270048,-8.14017872
26,42.05167889,-8.13682403
27,42.05020024,-8.14154925
28,42.04917874,-8.13819473
29,42.01583234,-8.16668867
30,42.01631531,-8.16701305
31,42.01607424,-8.16604100
32,42.01655729,-8.16636538
33,42.01534770,-8.16960373
34,42.01414230,-8.16474348
35,42.01293279,-8.16798175
36,42.00810138,-8.16148619
37,42.00834328,-8.16083861
38,42.00858434,-8.16181049
39,42.00882624,-8.16116290
40,42.00641125,-8.15954142
41,42.00761682,-8.16440092
42,42.00520191,-8.16277935
43,42.01196460,-8.17706354
44,42.01244756,-8.17738800
45,42.01220658,-8.17641595
46,42.01268946,-8.17674042
47,42.01147962,-8.17997835
48,42.01027472,-8.17511827
49,42.00906488,-8.17835603
50,42.00423405,-8.17186014
51,42.00447595,-8.17121264
52,42.00471701,-8.17218452
53,42.00495892,-8.17153702
54,42.00254409,-8.16991520
55,42.00374924,-8.17477461
56,42.00133441,-8.17315271
57,42.04724545,-8.14756570
58,42.04670540,-8.14757927
59,42.04725559,-8.14829031
60,42.04671546,-8.14830381
61,42.04666492,-8.14468090
62,42.04941586,-8.14823608
63,42.04936532,-8.14461300
64,42.04022443,-8.14774180
65,42.04076456,-8.14772830
66,42.04023458,-8.14846633
67,42.04077462,-8.14845284
68,42.04072408,-8.14483026
69,42.03807422,-8.14852048
70,42.03802368,-8.14489807
71,42.04902694,-8.15913800
72,42.04903700,-8.15986262
73,42.04956707,-8.15912459
74,42.04957704,-8.15984921
75,42.04687665,-8.15991643
76,42.04952692,-8.15622613
77,42.04682652,-8.15629352
78,42.03874268,-8.15722953
79,42.03820255,-8.15724294
80,42.03873262,-8.15650500
81,42.03819249,-8.15651849
82,42.03824270,-8.16014098
83,42.04089289,-8.15645110
84,42.04094310,-8.16007376
