"p" "s1" "s2" "n" "nsp1" "m" "nsp2" "nsh" "fm1" "fm2" "f1m" "f2m" "u_pt1" "v_pt1" "Junad" "Lunad" "U" "V" "Jabd" "Labd"
6 1 2 82 32 348 42 20 4 1 6 5 0.829268292682927 0.770114942528736 0.664721330609863 0.798597721297108 0.950869077656294 0.810989627137651 0.778373129292644 0.875376619756109
6 1 3 82 32 127 44 22 6 3 7 6 0.865853658536585 0.803149606299213 0.714271624420554 0.833323744318509 1 0.866669867486076 0.866669867486076 0.928573265773297
6 1 4 82 32 6 4 3 2 1 0 1 0.146341463414634 0.833333333333333 0.14218009478673 0.24896265560166 0.237804878048781 0.833333333333333 0.227008149010477 0.370018975332068
6 1 5 82 32 50 20 11 3 4 3 4 0.48780487804878 0.78 0.428807036833425 0.600230858022316 0.514695121951219 0.824451219512195 0.4638593714569 0.633748542382519
6 1 6 82 32 125 38 19 6 2 6 5 0.780487804878049 0.784 0.642359688652192 0.782239960089798 0.94380487804878 0.836156097560976 0.796501777216059 0.886725287241691
6 1 7 82 32 152 42 21 6 6 6 6 0.853658536585366 0.684210526315789 0.612382234185733 0.759599332220367 0.920290436456996 0.726452182284981 0.683449179580215 0.811962948297186
6 1 8 82 32 81 21 14 7 1 4 4 0.634146341463415 0.888888888888889 0.587570621468926 0.740213523131673 1 0.913279132791328 0.913279132791328 0.954674220963173
6 1 9 82 32 76 23 14 4 1 4 4 0.634146341463415 0.828947368421053 0.560766860664156 0.718578635665716 0.826700898587933 0.887435815147625 0.748240109217902 0.855992383737995
6 1 10 82 32 43 16 10 5 1 2 3 0.536585365853659 0.744186046511628 0.453024453024453 0.62356067316209 0.953488372093023 0.767158252977879 0.739484984264149 0.850234398058885
6 1 11 82 32 36 18 9 3 3 2 1 0.524390243902439 0.75 0.44636678200692 0.617224880382775 0.559959349593496 0.832317073170732 0.503192980460766 0.669498842798647
6 1 12 82 32 36 18 9 3 3 2 1 0.524390243902439 0.75 0.44636678200692 0.617224880382775 0.559959349593496 0.832317073170732 0.503192980460766 0.669498842798647
6 1 13 82 32 68 18 12 4 1 2 3 0.621951219512195 0.720588235294118 0.501102867455384 0.667646273043014 0.982424677187948 0.744799139167862 0.735005729133989 0.84726605427506
6 1 14 82 32 67 18 12 4 1 3 4 0.573170731707317 0.835820895522388 0.515169309062439 0.680015501873143 0.933563887877685 0.891108481980342 0.837968841332364 0.911842271194229
6 1 15 82 32 96 30 16 5 4 5 4 0.707317073170732 0.75 0.572368421052632 0.728033472803347 0.782742632113821 0.807879192073171 0.65990572658348 0.795112295855185
6 1 16 82 32 46 24 12 5 4 3 3 0.51219512195122 0.739130434782609 0.433778857837181 0.605084745762712 0.586757688229056 0.825026511134677 0.521821724316965 0.68578561598754
6 1 17 82 32 65 28 15 10 1 4 5 0.573170731707317 0.738461538461539 0.476451953537487 0.645401230153054 1 0.805328330206379 0.805328330206379 0.89216827402727
6 1 18 82 32 77 31 14 5 2 5 3 0.536585365853659 0.675324675324675 0.426547352721849 0.598013591217982 0.656952803294267 0.846373139056066 0.58696078142698 0.739729410199023
6 1 19 82 32 119 32 18 9 1 6 4 0.768292682926829 0.789915966386555 0.637940321016913 0.778954291351529 1 0.833495593359295 0.833495593359295 0.909187451966744
