"p" "s1" "s2" "Jabd" "Labd"
4 1 2 0.678571428571429 0.808510638297872
4 1 3 0.625 0.769230769230769
4 1 4 0 0
4 1 5 0.3023730543506 0.464341692789969
4 1 6 0.436011904761905 0.607253886010363
4 1 7 0.523471768548764 0.687209017397697
4 1 8 0.110047846889952 0.198275862068966
4 1 9 0.641746890079779 0.781785418882193
4 1 10 0.37123745819398 0.541463414634146
4 1 11 0.100436681222707 0.182539682539683
4 1 12 0.541184274753746 0.702296647609148
4 1 13 0.299677765843179 0.461157024793388
4 1 14 0.532413770263781 0.694869467496542
4 1 15 0.105601469237833 0.191029900332226
4 1 16 0.114427860696517 0.205357142857143
4 1 17 0 0
4 1 18 0.0913907284768212 0.16747572815534
4 1 19 0.979166666666667 0.989473684210526
4 1 20 0.110047846889952 0.198275862068966
4 1 21 0.131565262610504 0.232536764705882
4 1 22 0.625 0.769230769230769
4 1 23 0.113366193099449 0.203645833333333
4 1 24 0.24 0.387096774193548
4 1 25 0.246826516220028 0.395927601809955
4 1 26 0.560165975103734 0.718085106382979
4 1 27 0.235668789808917 0.381443298969072
4 1 28 0.601162368325463 0.750907441016334
4 1 29 0.0486257928118393 0.092741935483871
4 1 30 0.0486257928118393 0.092741935483871
4 1 31 0.0348038645093703 0.0672665916760405
4 1 32 0.0260031903854791 0.0506883226663446
4 1 33 0.0486257928118393 0.092741935483871
4 1 34 0.14018691588785 0.245901639344262
4 1 35 0.0545352248523088 0.10342987804878
4 1 36 0 0
4 1 37 0 0
4 1 38 0.0987124463519313 0.1796875
4 1 39 0.113366193099449 0.203645833333333
4 1 40 0.0739800237006941 0.137767969735183
4 1 41 0 0
4 1 42 0.119170984455959 0.212962962962963
4 1 43 0 0
4 1 44 0.0894941634241245 0.164285714285714
4 1 45 0.0641962111764357 0.120647321428571
4 1 46 0 0
4 1 47 0.0507106271836098 0.0965263429752066
4 1 48 0.0704099156275667 0.131556919642857
4 1 49 0.0637119113573407 0.119791666666667
4 1 50 0.0716510903426791 0.133720930232558
4 1 51 0.0448343079922027 0.0858208955223881
4 1 52 0.0682492581602374 0.127777777777778
4 1 53 0 0
4 1 54 0.122062168309325 0.217567567567568
4 1 55 0 0
4 1 56 0 0
4 1 57 0.0589239965841161 0.111290322580645
4 1 58 0.21570528356762 0.354864433811802
4 1 59 0.280453257790368 0.438053097345133
4 1 60 0.11175898931001 0.201048951048951
4 1 61 0.131565262610504 0.232536764705882
4 1 62 0.119170984455959 0.212962962962963
4 1 63 0.432692307692308 0.604026845637584
4 1 64 0 0
4 1 65 0.131565262610504 0.232536764705882
4 1 66 0.087155363909578 0.160336538461538
4 1 67 0 0
4 1 68 0.104704097116844 0.18956043956044
4 1 69 0.0822898032200358 0.152066115702479
4 1 70 0.12118018967334 0.216165413533835
4 1 71 0.651768056324658 0.789176245210728
4 1 72 0.125 0.222222222222222
4 1 73 0.115966386554622 0.207831325301205
4 1 74 0.708333333333333 0.829268292682927
4 1 75 0.114427860696517 0.205357142857143
4 1 76 0.275423728813559 0.431893687707641
4 1 77 0.119170984455959 0.212962962962963
4 1 78 0.122557726465364 0.218354430379747
4 1 79 0.95 0.974358974358974
4 1 80 0.131565262610504 0.232536764705882
4 1 81 0.127118644067797 0.225563909774436
4 1 82 0.309782608695652 0.473029045643154
4 1 83 0.211267605633803 0.348837209302326
4 1 84 0.425101214574899 0.596590909090909
4 2 3 0.99647266313933 0.998233215547703
4 2 4 0 0
4 2 5 0.520791154025853 0.68489503328213
4 2 6 0.429239324435558 0.600654232075619
4 2 7 1 1
4 2 8 0.498699587335714 0.66550974131149
4 2 9 0.809145129224652 0.894505494505494
4 2 10 0.408799016259052 0.580351081369411
4 2 11 0.21505376344086 0.353982300884956
4 2 12 0.969111969111969 0.984313725490196
4 2 13 0.0997136468834582 0.181344747636882
4 2 14 0.252808988764045 0.403587443946188
4 2 15 0.353741496598639 0.522613065326633
4 2 16 0.344827586206897 0.512820512820513
4 2 17 0.0436005625879044 0.0835579514824798
4 2 18 0.717724810917854 0.835669143690534
